id,component,louvain_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core,label
front,1,4,10,1.3025225889314744,0.029190187388817915,0.0026504165185863753,0.029190187388817894,0.029190187388817894,6,front
rank,1,3,9,1.1916517173106231,0.024174641871709025,0.0022302637115222215,0.02417464187170905,0.02417464187170905,6,rank
lose,1,1,6,0.8741356617804308,0.06000440180827724,0.0015371153141449433,0.06000440180827724,0.06000440180827724,6,lose
fair,1,1,16,2.1286572903531917,0.12447508705846082,0.003933295551081478,0.12447508705846082,0.12447508705846082,9,fair
outfit,1,1,23,2.9877307189951066,0.06921698603439681,0.00445606524880647,0.0692169860343968,0.0692169860343968,11,outfit
post-exchange,1,4,4,0.6559301913512924,0.016012157618738206,0.0016290995816018166,0.016012157618738202,0.016012157618738202,4,post-exchange
soldier,1,6,57,7.700995526208483,0.41128144688054863,0.010514081530402604,0.41128144688054874,0.41128144688054874,13,soldier
freedom,1,2,14,2.2025720778389273,0.17334896969263675,0.0033191836480678826,0.17334896969263666,0.17334896969263666,10,freedom
love,1,2,13,1.7378129569028935,0.051164352388980504,0.0032443803423761923,0.051164352388980414,0.051164352388980414,7,love
practice,1,4,8,1.0830370072641422,0.01866903188693192,0.00218768895188455,0.01866903188693188,0.01866903188693188,6,practice
live,1,2,37,4.885670478918937,0.36258078090918056,0.007032162810452737,0.36258078090918006,0.36258078090918006,13,live
limit,1,1,19,2.627222225117807,0.07035728685840864,0.0038590168771389746,0.07035728685840867,0.07035728685840867,11,limit
paper,1,7,9,1.1626146122306922,0.00862389132742962,0.002660808230500564,0.008623891327429606,0.008623891327429606,6,paper
return,1,7,11,1.4326657002004581,0.017572205760826628,0.003573952046637907,0.01757220576082661,0.01757220576082661,6,return
lynch,1,2,12,1.598769385743499,0.0738067370774359,0.0028356952167449415,0.07380673707743592,0.07380673707743592,7,lynch
transfer,1,1,14,1.9710732961908766,0.04806440114424192,0.0031928822577002316,0.04806440114424192,0.04806440114424192,10,transfer
capable,1,3,7,0.9312066999822075,0.016051258954597667,0.00207236368735168,0.016051258954597684,0.016051258954597684,4,capable
oversea,1,5,8,0.9917359856255761,0.014402488453246596,0.0020831991194757583,0.014402488453246562,0.014402488453246562,6,oversea
condition,1,1,12,1.4638593288485153,0.05436793661275228,0.002489911963323135,0.05436793661275233,0.05436793661275233,9,condition
realize,1,2,22,2.622545476473728,0.17538160816671663,0.004144947999350012,0.1753816081667165,0.1753816081667165,11,realize
yr,1,1,8,1.0153737899160165,0.02338619687637706,0.001784742103311061,0.023386196876377052,0.023386196876377052,8,yr
lieutenant,1,3,9,1.2083754303711431,0.10061812494671876,0.0022411997792465524,0.10061812494671886,0.10061812494671886,7,lieutenant
pick,1,1,12,1.4950012794675762,0.022680028300444563,0.002678042044998247,0.0226800283004446,0.0226800283004446,8,pick
damn,1,5,7,0.9937550253682091,0.014705049863964518,0.0025571246872400817,0.014705049863964514,0.014705049863964514,5,damn
enlist,1,3,18,2.393003474151807,0.06948299178350857,0.004023974876559862,0.06948299178350868,0.06948299178350868,10,enlist
true,1,2,12,1.5047022154344858,0.05909515757622542,0.0032571808342691144,0.05909515757622541,0.05909515757622541,7,true
free,1,2,13,1.6438701125681374,0.08709869983980686,0.002811811486404913,0.08709869983980689,0.08709869983980689,8,free
ability,1,3,30,3.987355491233183,0.09992481565538057,0.006312052367956542,0.0999248156553806,0.0999248156553806,11,ability
mother,1,5,4,0.5683809947929399,0.011616227850679874,0.0012266129405274127,0.011616227850679903,0.011616227850679903,4,mother
night,1,6,18,2.348162541545836,0.03183222775971548,0.004186855023765438,0.03183222775971545,0.03183222775971545,10,night
battle,1,3,8,1.160075401795414,0.024029252999324825,0.002344474817894228,0.024029252999324832,0.024029252999324832,6,battle
duty,1,1,21,2.6248686740999885,0.05523233509146112,0.004043815191742515,0.05523233509146123,0.05523233509146123,11,duty
stop,1,2,11,1.3929532471027872,0.13569171475902728,0.0022169515310165263,0.13569171475902728,0.13569171475902728,10,stop
arm,1,1,3,0.7315889631511716,0.014480367535436342,0.0014408049798226793,0.014480367535436373,0.014480367535436373,3,arm
wast,1,6,11,1.503925455318929,0.035677484193423925,0.0025389911852068256,0.03567748419342395,0.03567748419342395,8,wast
eat,1,4,9,1.45601189204437,0.015494088837198348,0.002845273112497104,0.015494088837198345,0.015494088837198345,5,eat
opportunity,1,3,19,2.5399345948440213,0.09212668097538637,0.004208935229426893,0.09212668097538615,0.09212668097538615,11,opportunity
sgt,1,3,11,1.3640682775559507,0.012223074269563641,0.002814888431725373,0.012223074269563618,0.012223074269563618,7,sgt
wear,1,7,3,0.5857925942972297,0.007446570469024301,0.0014148120149184685,0.007446570469024299,0.007446570469024299,3,wear
morale,1,3,27,3.4437791897714427,0.12166435676458152,0.005862351266645565,0.12166435676458152,0.12166435676458152,11,morale
drill,1,3,4,0.45366281303157097,0.005669943968033752,0.001147564884291489,0.005669943968033739,0.005669943968033739,4,drill
system,1,3,5,0.7227798191183679,0.008393701541716191,0.0015239392658673104,0.008393701541716208,0.008393701541716208,5,system
learn,1,1,11,1.3684370002703048,0.04238121619950308,0.0026805449562030204,0.04238121619950309,0.04238121619950309,8,learn
jim,1,8,5,1.3320585779482739,0.034886362330334826,0.002696326424280634,0.0348863623303348,0.0348863623303348,4,jim
send,1,6,19,2.4304269866410646,0.07640891166092162,0.0037974587848429615,0.07640891166092165,0.07640891166092165,11,send
