source,target,weight
discrimination,prejudice,0.1321319891919677
love,person,0.1321108742004264
town,transport,0.13200490242383323
combat,reason,0.13181201101424622
war,opportunity,0.13169460868179397
war,glad,0.13169460868179397
matter,woman,0.1316718016595965
north,bear,0.13166582518401315
negro,discrimination,0.13152773938025966
freedom,nation,0.13141723020013238
marry,punish,0.1313234137688205
rate,unfair,0.13128926470157132
die,love,0.13125185156392544
discrimination,educate,0.1312226242553413
company,lieutenant,0.13114622978228946
hope,unit,0.13104929895974668
seat,set,0.13087441867252997
enemies,carry,0.13084978055438679
time,hard,0.13083450658063836
force,speech,0.13082649488857587
democracy,opportunity,0.13080977721496523
democracy,true,0.13080977721496523
bus,serviceclub,0.13070707527674222
child,marry,0.13060470169346172
military-police,tell,0.13059356313670886
beat,town,0.13040987399636586
office,enlist,0.1303004144588336
citizen,true,0.13017904508824335
creed,prejudice,0.13015939749645264
democracy,blood,0.13015939749645264
night,tell,0.13015939749645264
fight,discrimination,0.1300744532841219
white,train,0.12973647007430625
nation,carry,0.1297103123163769
come,hear,0.12966510722168428
camp,pass,0.12961897230256975
learn,soon,0.12955421291636496
nation,unit,0.12952145126872663
free,forget,0.12951655673932141
service,soldier,0.12945168336860555
express,teach,0.1292814985201623
civilian,spend,0.1291786828271916
north,boy,0.1289843346498262
morale,credit,0.12898211022160067
learn,protect,0.12893974888996154
jim,not,0.12870718638359865
white,live,0.12868389551537904
ride,bui,0.12867018943002734
defense,military,0.12867018943002734
negro,ability,0.1286111154613913
company,commissioned,0.12861010483158603
people,world,0.128609343970362
black-man,train,0.12849940140885036
troop,respect,0.12848680966897444
morale,troop,0.12846951769593867
combat,physical,0.12846426496142677
military-police,town,0.1284434142111818
color,troop,0.12836473430339213
creed,realize,0.12819810588503042
equal,break,0.12817780149125513
god,hate,0.1281727548864636
race,free,0.12813171705218263
negro,law,0.12807424787905808
captain,night,0.1278793696746477
home,time,0.12783656553447156
choose,transfer,0.12781200236037402
god,live,0.1277393880282019
win,soldier,0.12769338202089472
equal,creed,0.1276241299254866
equal,blood,0.1276241299254866
night,hard,0.1276241299254866
white,camp,0.127480298083013
hell,rotten,0.1274529454315271
north,color,0.12725559081894583
bus,theater,0.12709894137614566
ride,blood,0.12700155486875997
creed,nation,0.12700155486875997
war,soldier,0.12697120917277385
god,kill,0.12696861562359546
right,free,0.12693102300685097
negro,true,0.1267519677260066
camp,mile,0.12672120345738325
camp,poor,0.12669372283686586
chance,advance,0.12664772650097175
bus,military-police,0.12664278089180536
bear,find,0.1266346610021943
paper,hear,0.1265844814855128
office,camp,0.12652310432100144
force,troop,0.12632885807509506
land,hate,0.1262746015824416
north,town,0.12619658319292973
opinion,glad,0.12612118224504146
black-man,town,0.1260442750480107
receive,due,0.12591965559098003
damn,hell,0.12589619981041536
opportunity,educate,0.12581331515332356
fort,move,0.12568826939871908
win,pull,0.12566069837004443
week,rest,0.12549720413128806
capable,play,0.1254400071796924
fight,respect,0.12541288162034372
ability,allow,0.12516588957817468
month,mechanic,0.12508471682966377
negro,life,0.12506104964543374
race,speech,0.12502836430313072
bed,private,0.12502352209957812
morale,social,0.12497474413014786
equal,advance,0.12482590098707397
fight,victory,0.12476122126236927
black-man,military-police,0.12475023761487002
beat,hous,0.12468995736490844
country,nation,0.12462567634932749
negro,prove,0.12457088845200082
country,protect,0.12442079890780489
south,law,0.12439920751814786
air,school,0.12435339274140836
furlough,mile,0.12425159653436735
improve,recreate,0.12420420653521086
south,equal,0.124176554850027
command,credit,0.12415539312665536
captain,hell,0.12415539312665536
divide,receive,0.12412670340013884
land,law,0.12412670340013884
white,ride,0.1241206085701872
office,outfit,0.12411820971900508
corp,protect,0.1240867565232599
trouble,heart,0.1240867565232599
receive,change,0.124026462958122
fight,blood,0.1239810985316907
enlist,run,0.12397037051859183
stand,kill,0.12390604154295806
month,soldier,0.12388931095587025
race,white-man,0.12382147663900456
god,true,0.12380487431986378
fight,enemies,0.12379381545864244
defense,army,0.12378100996250521
farm,draft,0.12376180303215674
write,spend,0.12368341020333563
rotten,half,0.12357270595609061
war,god,0.1235523198736891
die,separate,0.1231911623922572
right,democracy,0.12316786796474931
force,negro,0.12314082502277973
country,soldier,0.12313753572591034
white,stand,0.12313262153227711
white,break,0.12313262153227711
washington,presid,0.12311997474438197
race,hope,0.123033643652451
white,discrimination,0.12302301992924822
discrimination,opportunity,0.12301872685816734
south,human,0.1229261062945119
north,treat,0.12282463860104081
service,enlist,0.1226746678242494
office,rotten,0.1225882907349268
negro,hope,0.12258655341723733
camp,close,0.1224698219308214
office,qualify,0.12243513614410206
fight,human,0.1224300703922809
fair,brake,0.12238382238590904
fair,bite,0.12238382238590904
police,shoot,0.12234705886624216
fight,start,0.1222345423362239
people,home,0.12201902569879143
