id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
yr,yr,1,5,2,8,1.0153737899160165,0.13346232159623103,0.004852011334884741,0.13346232159623103,0.13346232159623103,6
country,country,1,5,2,15,1.9543590390902634,0.3011868504588405,0.008309692221084634,0.3011868504588408,0.3011868504588408,6
pick,pick,1,3,3,9,1.1412646290509538,0.11599659062254862,0.005455475915883407,0.11599659062254869,0.11599659062254869,6
combat,combat,1,4,1,19,2.432728300118826,0.4064034960779191,0.009743134466199753,0.4064034960779196,0.4064034960779196,7
camp,camp,1,7,4,9,1.3025540387211518,0.19071161303695963,0.005743329193102821,0.19071161303695985,0.19071161303695985,6
enlist,enlist,1,3,1,9,1.2540822134282088,0.2614448611846039,0.00590766319130352,0.2614448611846044,0.2614448611846044,7
night,night,1,7,4,6,0.8338801341470954,0.05416852589006892,0.004693665109104592,0.05416852589006886,0.05416852589006886,5
bus,bus,1,7,4,9,1.1578240846760668,0.10813894080715422,0.005473316968350243,0.10813894080715424,0.10813894080715424,6
field,field,1,6,3,18,2.225754989878338,0.2743136626512034,0.009433571214613194,0.27431366265120344,0.27431366265120344,7
ability,ability,1,3,3,16,2.1366587048452272,0.25944350222259943,0.009264716943927904,0.2594435022225995,0.2594435022225995,6
freedom,freedom,1,1,6,5,0.8156011082151047,0.15372698013025338,0.0037741873143423955,0.15372698013025346,0.15372698013025346,5
soldier,soldier,1,7,4,23,3.0639308469521964,0.5089470988433485,0.012718056270453658,0.508947098843349,0.508947098843349,7
wast,wast,1,5,2,11,1.503925455318929,0.20047595658566375,0.006742337383519458,0.20047595658566408,0.20047595658566408,6
eat,eat,1,3,3,4,0.7746442089227932,0.03906533301260465,0.004069969576253891,0.03906533301260467,0.03906533301260467,4
sgt,sgt,1,7,3,6,0.8027157955650437,0.06636626631341308,0.004347259572514071,0.06636626631341308,0.06636626631341308,5
drill,drill,1,7,3,4,0.45366281303157097,0.02949296622263896,0.002865159587494065,0.029492966222638882,0.029492966222638882,4
system,system,1,6,5,5,0.7227798191183679,0.07825291971375603,0.003842598907774514,0.07825291971375606,0.07825291971375606,5
learn,learn,1,4,1,5,0.6753978454556822,0.06416717020070058,0.003690664379536313,0.06416717020070062,0.06416717020070062,5
opportunity,opportunity,1,6,5,4,0.6411458766855949,0.07776417992006443,0.0032720144129373906,0.07776417992006443,0.07776417992006443,4
company,company,1,3,3,8,0.9971986446124046,0.08313206476475075,0.004941985542435623,0.0831320647647507,0.0831320647647507,6
send,send,1,7,4,11,1.4439142118685415,0.21996878486220037,0.006243728990587532,0.21996878486220064,0.21996878486220064,7
town,town,1,7,4,11,1.4276710092579932,0.15717856123680005,0.006418262304244775,0.15717856123680005,0.15717856123680005,6
bad,bad,1,7,4,7,0.855870748618142,0.09742375706743427,0.004202092562325432,0.0974237570674342,0.0974237570674342,6
effort,effort,1,4,1,8,1.042593791761481,0.1702794597504436,0.004897288615518755,0.1702794597504436,0.1702794597504436,6
care,care,1,5,1,5,0.5962126382656252,0.08400575511545139,0.003472414132545596,0.08400575511545139,0.08400575511545139,4
line,line,1,6,7,7,1.0618963389918508,0.10612067737924023,0.00530836551108366,0.10612067737924026,0.10612067737924026,5
treat,treat,1,1,6,16,2.021378570340935,0.2254865879047988,0.008335518526441531,0.2254865879047987,0.2254865879047987,7
peace,peace,1,5,2,4,0.592191239864499,0.07136564036068611,0.0033296578507709955,0.07136564036068617,0.07136564036068617,4
fair,fair,1,3,3,6,0.7840759649200165,0.0727488888062443,0.004206050294310634,0.07274888880624436,0.07274888880624436,5
private,private,1,3,3,9,1.1979067282193,0.09327579473164814,0.00586811928082564,0.09327579473164804,0.09327579473164804,6
privilege,privilege,1,1,6,5,0.7646635524928537,0.08681444589196992,0.0035930678942620673,0.0868144458919699,0.0868144458919699,5
force,force,1,4,1,5,0.6890984377728859,0.15900509989115844,0.0033552967732866324,0.15900509989115863,0.15900509989115863,5
handl,handl,1,6,5,7,0.8654727739868058,0.16272750026054095,0.00406590930043738,0.16272750026054114,0.16272750026054114,6
inspect,inspect,1,7,4,8,1.0752021994603986,0.11721351668534426,0.005841249281755766,0.11721351668534437,0.11721351668534437,5
station,station,1,7,4,7,1.127701789100373,0.21599895566989616,0.004922629931939186,0.21599895566989635,0.21599895566989635,6
fit,fit,1,4,1,7,0.934636977951409,0.16776316466215133,0.004422779049455154,0.16776316466215138,0.16776316466215138,6
cloth,cloth,1,3,3,10,1.2475933979520946,0.12424711000960274,0.005809293427491092,0.12424711000960283,0.12424711000960283,6
infantry,infantry,1,4,1,10,1.2869903421837168,0.260757555978385,0.0055338533239218755,0.2607575559783853,0.2607575559783853,7
