source,target,weight
army,care,0.107353254573611
field,duty,0.10734335659691113
people,town,0.10732943042556703
spend,lot,0.10720764954642382
war,farm,0.10707040392312704
office,job,0.10695042235914862
army,fellow,0.10678145889040423
system,wast,0.10669906605408463
spend,wast,0.10669906605408463
basic,command,0.10667500265757353
race,privilege,0.10667500265757353
air,combat,0.10658757161891051
draft,combat,0.10658757161891051
civilian,force,0.10656686729385155
treat,half,0.10651378463153026
south,pretty,0.10636770785272258
win,peace,0.10629160985840136
bus,boy,0.10629160985840136
pick,reason,0.10623463889441738
wast,physical,0.10622200503325932
govern,live,0.1061638720947077
limit,poor,0.10603986734745532
condition,poor,0.10603986734745532
month,reason,0.10601744312668533
limit,serve,0.10599284979701756
damn,hell,0.10599284979701756
race,fight,0.10598063261736493
time,damn,0.105950486545871
service,satisfy,0.10579173813130857
singl,trouble,0.10570382311345679
singl,realize,0.10570382311345679
nation,realize,0.10570382311345679
experi,serve,0.10570271888916793
war,time,0.10565207364856666
rate,hard,0.10564264582073686
soldier,not,0.10557862457782892
person,major,0.10542900710230246
country,person,0.10538375856376522
cook,noncom,0.10522550757964416
bus,hold,0.10522550757964416
week,home,0.10521699386786156
fight,white-man,0.10515673711092556
office,company,0.10513378968121195
army,country,0.10509557938940639
basic,morale,0.10507159151264388
school,organ,0.10487070718837152
system,physical,0.10479967420164948
qualify,physical,0.10479967420164948
air,satisfy,0.10475133648246268
plant,yr,0.10475053811532478
spend,inspect,0.10475053811532478
night,inspect,0.10475053811532478
condition,feel,0.10474729759634001
life,unit,0.10469900777866381
air,civilian,0.10469459092929333
air,mechanic,0.1045881132320938
rate,polit,0.10455282584304626
war,home,0.10451370162436453
town,tell,0.10447170341079391
tell,leave,0.10447170341079391
sleep,hope,0.10444811052984798
organ,individu,0.10418875912049803
army,deal,0.10414704637082989
plant,home,0.10412187866144451
north,home,0.10407409131480365
home,half,0.10407409131480365
train,combat,0.10405343986100135
job,world,0.10404476399279936
guard,world,0.10400315908978726
service,age,0.10394696903898416
rate,call,0.10388410587069923
service,feel,0.10387449616427505
month,duty,0.1037205144601705
branch,draft,0.10362930485142839
wast,handl,0.10359165321881281
life,chance,0.103409212527219
army,yr,0.10338447189078889
soldier,treat,0.10337295965037471
hard,care,0.1033661271394094
air,army,0.10332548932070723
duty,mind,0.1032237600917149
day,give,0.10321980944867022
limit,outfit,0.10311250025114876
home,bad,0.10301844062005945
enlist,field,0.1030162458698997
system,field,0.10297755778322251
trade,reason,0.10297755778322251
cook,company,0.10293108374778516
bus,pretty,0.10293108374778516
nation,private,0.10292959623094318
office,pick,0.10287837718854409
win,hope,0.10286174739231553
month,sgt,0.10276936794710169
north,separate,0.1027506720962709
privilege,live,0.10258179167894309
physical,morale,0.10232146434293829
condition,morale,0.1021110883507467
morale,deal,0.1021110883507467
army,age,0.10198093352407916
rate,mind,0.10184257672059924
limit,draft,0.1017941377225232
child,boy,0.1017898967026538
time,cloth,0.10175095461363766
learn,physical,0.10172908893304383
physical,handl,0.10172908893304383
physical,age,0.10172908893304383
physical,enter,0.10172908893304383
fight,army,0.1016645214685146
duty,leave,0.10158975708927138
treat,pretty,0.1015753514590308
ability,person,0.10136957727181066
corp,experi,0.10127762936122464
opportunity,combat,0.10122737250423278
qualify,combat,0.10122737250423278
trade,hope,0.10122737250423278
race,educate,0.1011816678870927
home,country,0.10118157955742048
night,cloth,0.10116354856752795
life,realize,0.10113674114404846
train,fit,0.1011347448006541
pick,town,0.10107667327156307
negro,educate,0.10094091941943803
satisfy,boy,0.10087794011270865
fit,ship,0.1008192401487304
sgt,drill,0.1008192401487304
tell,drill,0.1008192401487304
tell,major,0.1008192401487304
close,lot,0.10076487745165087
serve,wrong,0.10074928600939266
enlist,idea,0.10056593338514604
commissioned,inspect,0.10056141144186564
lot,type,0.10051116925555488
outfit,call,0.10050459656714936
bus,poor,0.10050068445128864
north,pretty,0.1004918609323603
day,test,0.10038710262777657
time,call,0.10035751181314338
civilian,wast,0.1001471714483135
spend,country,0.10014269331197495
train,take,0.10002614680546751
