source,target,weight,group
marry,army,0.13144485388484417,white
freedom,nation,0.13141723020013238,black
private,call,0.13141096414847123,white
mechanic,class,0.13134421492944717,white
mechanic,handl,0.13134421492944717,white
mechanic,enter,0.13134421492944717,white
privilege,equal,0.13134421492944717,white
force,enter,0.13134421492944717,white
military-police,type,0.13134421492944717,white
handl,type,0.13134421492944717,white
marry,punish,0.1313234137688205,black
rate,unfair,0.13128926470157132,black
service,major,0.13127107150807274,white
die,love,0.13125185156392544,black
discrimination,educate,0.1312226242553413,black
company,lieutenant,0.13114622978228946,black
office,organ,0.1310790476717427,white
inspect,damn,0.13107839533260793,white
hope,unit,0.13104929895974668,black
service,transfer,0.1309259878364407,white
seat,set,0.13087441867252997,black
enemies,carry,0.13084978055438679,black
time,hard,0.13083450658063836,black
force,speech,0.13082649488857587,black
democracy,opportunity,0.13080977721496523,black
democracy,true,0.13080977721496523,black
bus,serviceclub,0.13070707527674222,black
plant,line,0.13068499528726327,white
school,opportunity,0.13068499528726327,white
child,marry,0.13060470169346172,black
military-police,tell,0.13059356313670886,black
ability,chance,0.1305622701881995,white
time,half,0.13045276651417304,white
commissioned,week,0.1304286228821927,white
